Anoste|protein1168	GO:0003713,GO:0000124
Anoalb|LOC118457302	GO:0007218,GO:0030141,GO:0046883,GO:0030234
Anogam|LOC1274698	GO:0032040,GO:0006364,GO:0034388
Anoste|protein17737	GO:0035869,GO:0036038,GO:0060271
Anoalb|LOC118460519	GO:0030150,GO:0008320,GO:0005741
Anoalb|LOC118467756	GO:0030544,GO:0006457
Anogam|LOC1279675	GO:0006886,GO:0006890,GO:0006891,GO:0006888,GO:0030126
Anoara|LOC120895144	GO:0000981,GO:0070888,GO:0007423,GO:0003700,GO:0045944,GO:0061564,GO:0005634
Anoara|LOC120905825	GO:0008188,GO:0005886,GO:0007218
Anogam|LOC5668113	GO:0005769,GO:0099518
Anoste|protein7067	GO:0005737
Anoara|LOC120900683	GO:0005886,GO:0005524,GO:0043235,GO:0016020,GO:0006468,GO:0004675,GO:0004674,GO:0007178,GO:0071363
Anoara|LOC120900166	GO:0005739,GO:0006635,GO:0003985
Anoalb|LOC118457905	GO:0061630,GO:0006511,GO:0005634
Anoste|protein14658	GO:0052856,GO:0005739
Anoalb|LOC118463119	GO:0005245,GO:0005891
Anogam|LOC1273045	GO:0005840,GO:0003735,GO:0006412
Anoalb|LOC118464864	GO:0004842,GO:0016567
Anogam|LOC133393272	GO:0005634,GO:0003729
Anoalb|LOC118459522	GO:0036444,GO:0005509,GO:1990246,GO:0051560,GO:0006851
Anoalb|LOC118465828	GO:0016324,GO:0008104,GO:0006898,GO:0030139
Anoalb|LOC118460672	GO:0019905,GO:0042147,GO:0006896,GO:0000938
Anoalb|LOC118468944	GO:0045056,GO:0006886,GO:0005783,GO:0061025,GO:0006888,GO:0012507,GO:0048193,GO:0005795,GO:0048211
Anoalb|LOC118466366	GO:0007608,GO:0005615
Anofun|LOC125765339	GO:0004089,GO:0008270
Anoara|LOC120898426	GO:0016192
Anofun|LOC125765473	GO:0003723,GO:0006412,GO:0003735,GO:0022625,GO:0005840
Anogam|LOC1270136	GO:0005874,GO:0032273,GO:0015631,GO:0001578,GO:0046785
Anoalb|LOC118466095	GO:0006357,GO:0000978,GO:0000981
Anoste|protein1540	GO:0016791,GO:0005737
Anogam|LOC1280324	GO:0005739,GO:0005737,GO:0016020
Anogam|LOC133391966	GO:0071254,GO:0016604,GO:0006398,GO:0071209,GO:0071208
Anoste|protein14822	GO:0031151,GO:0051726,GO:2000677,GO:0005634,GO:0006281,GO:0000077
Anogam|LOC1269843	GO:0015630,GO:0005634,GO:0060294,GO:0060271
Anoalb|LOC118463033	GO:0005921,GO:0005886,GO:0005243,GO:0007602
Anogam|LOC1274962	GO:0003729
Anoalb|LOC118467529	GO:0007186,GO:0005886,GO:0008528
Anoste|protein14471	GO:0050660,GO:0010181,GO:0005829,GO:0016491
Anoalb|LOC118460083	GO:0055080,GO:0034703,GO:0005261,GO:0030424
Anoalb|LOC118457773	GO:0016491,GO:0050660
Anoalb|LOC118457750	GO:0006355,GO:0005634
Anoalb|LOC118464499	GO:0005375,GO:0016020,GO:0035434,GO:0005886
Anoalb|LOC118458834	GO:0016020,GO:0007214,GO:0004888,GO:0004965,GO:0038039,GO:0007186
Anofun|LOC125767099	GO:0046872,GO:0017183
Anoara|LOC120894065	GO:0030514,GO:0023051
Anoste|protein14841	GO:0016020
Anofun|LOC125770891	GO:0005506,GO:0016491
Anogam|LOC4578431	GO:1903955,GO:0005742
Anoste|protein14737	GO:0000977,GO:0006357,GO:0000981
Anoalb|LOC118461023	GO:0016405,GO:0046949,GO:0004467,GO:0001676
Anoalb|LOC118458377	GO:0007274,GO:0070073,GO:0007270,GO:0042734
Anoste|protein12220	GO:0045944,GO:0003712,GO:0006357,GO:0008134,GO:0016592
Anoalb|LOC118460401	GO:0019538,GO:0006508,GO:0030145,GO:0070006,GO:0005737,GO:0008233
Anoalb|LOC118467596	GO:0005737
Anogam|LOC1270384	GO:0035023,GO:0005096,GO:0030036
Anogam|LOC1280505	GO:0072659,GO:0005886
Anoalb|LOC118459691	GO:0030425,GO:0043025,GO:0030424,GO:0008049,GO:0007635
Anogam|LOC1269655	GO:0005739,GO:0005747
Anoalb|LOC118466587	GO:0008010,GO:0062129
Anogam|LOC1273865	GO:0004867,GO:0005615
Anogam|LOC1268649	GO:0042078
Anofun|LOC125766995	GO:0016020,GO:0008506
Anogam|LOC1274240	GO:0005737,GO:0006606
Anoste|protein14003	GO:0016787,GO:0012505
Anogam|LOC4576818	GO:0006513,GO:0061630,GO:0005164,GO:0070842,GO:0005778,GO:0031625,GO:0051865,GO:0016235
Anoste|protein2818	GO:0005886,GO:0005221,GO:0005222,GO:0017071,GO:0005223,GO:0098655,GO:0044877,GO:0030553
Anogam|LOC1274579	GO:0005811,GO:0016298,GO:0019915
Anoara|LOC120901425	GO:0005856,GO:0018107,GO:0018105,GO:0004674,GO:0005634,GO:0005737
Anoalb|LOC118463662	GO:0005096,GO:0043547,GO:0008277,GO:0005737,GO:0043005
Anogam|LOC1271525	GO:0016491,GO:0050660
Anoara|LOC120898564	GO:0020037,GO:0006082,GO:0016712,GO:0005737,GO:0008395,GO:0043231,GO:0006805
Anoste|protein12447	GO:0045202,GO:0030425,GO:0004993,GO:0016907,GO:0007197,GO:0007187,GO:0007268,GO:0005886,GO:0030594
Anogam|LOC133393042	GO:0060070,GO:1990907,GO:0016055,GO:0000785,GO:0000981,GO:0006357,GO:0000978
Anoalb|LOC118457332	GO:0043025,GO:0008049,GO:0030425,GO:0030424,GO:0007635
Anogam|LOC1274084	GO:0005813,GO:0000922,GO:0007052,GO:0005634,GO:0000776,GO:0004674,GO:0005737
Anofun|LOC125767136	GO:0062129,GO:0008010
Anoste|protein670	GO:0007420,GO:0030424,GO:0098632,GO:0007411,GO:0005886,GO:0098609
Anoalb|LOC118462766	GO:0005324,GO:0004467,GO:0005886,GO:0001676,GO:0015245,GO:0044539,GO:0005789
Anogam|LOC1274065	GO:0000978,GO:0000122,GO:0030154,GO:0004879,GO:0045944
Anogam|LOC1280664	GO:0043495,GO:0072659,GO:0016324
Anoalb|LOC118464409	GO:0032454,GO:0032452,GO:0010468,GO:0051864,GO:0005634,GO:0006338,GO:0000785
Anofun|LOC125771024	GO:0005615,GO:0038098,GO:0048018,GO:0036122,GO:0009887
Anoalb|LOC118469073	GO:0005886,GO:0007608,GO:0050911,GO:0016020,GO:0005549,GO:0004984
Anoste|protein12698	GO:0000340,GO:0005634,GO:0050072,GO:0000290,GO:0000932,GO:0016787
Anoara|LOC120904458	GO:0005929,GO:0007399,GO:0008289,GO:0060271,GO:0042953
Anofun|LOC125762869	GO:0051010,GO:0005737,GO:0035371,GO:0005634,GO:0031122,GO:0005938
Anoalb|LOC118458054	GO:0032504,GO:0005615
Anoste|protein13129	GO:0055085,GO:0043231,GO:0016020,GO:0140359,GO:0042626,GO:0005319,GO:0006869
Anogam|LOC3291540	GO:0016491,GO:0050660
Anoara|LOC120902265	GO:0005739
Anogam|LOC1279554	GO:0007165,GO:0001664,GO:0005737,GO:0002031
Anoste|protein7875	GO:0009790,GO:0030154,GO:0009948,GO:0009887,GO:0005634,GO:0006357,GO:0000977,GO:0003700
Anofun|LOC125771664	GO:0005634,GO:0006357,GO:0005667
Anofun|LOC125767322	GO:0035332,GO:0098592
Anogam|LOC1272252	GO:0005643,GO:0006405,GO:0008139,GO:0017056,GO:0006606
Anoalb|LOC118458189	GO:0005267,GO:0022841,GO:0005886,GO:0030322,GO:0015271,GO:0071805,GO:0016020
Anoste|protein4548	GO:0005886,GO:0007186,GO:0008528
Anoste|protein9187	GO:0004252
Anoalb|LOC118458080	GO:0005737,GO:0070966,GO:0032790,GO:0070651,GO:0070481,GO:0071025
Anoalb|LOC118462746	GO:0000213,GO:0000379
Anogam|LOC1279002	GO:0005509
Anoalb|LOC118469030	GO:0003755,GO:0016018,GO:0005737,GO:0006457,GO:0000413
Anoste|protein633	GO:0005783,GO:0042171
Anoalb|LOC118460378	GO:0004888,GO:0016020,GO:0005216,GO:0034220
Anoste|protein5887	GO:0007017,GO:0005874
Anoste|protein4817	GO:0015232,GO:0097037,GO:0020037,GO:0016020,GO:0051184
Anoste|protein2675	GO:0003743,GO:0005852,GO:0005737,GO:0006413
Anofun|LOC125769581	GO:0005615,GO:0004181,GO:0006508
Anoalb|LOC118467537	GO:0007281
Anoalb|LOC118458805	GO:0016020
Anoalb|LOC118464648	GO:0000209,GO:0006513,GO:0061630
Anoalb|LOC118460091	GO:0006355,GO:0070577,GO:0006338,GO:0005634,GO:0000785
Anoalb|LOC118464550	GO:0004867,GO:0005615
Anoalb|LOC118467164	GO:0006355,GO:0006281,GO:0035267,GO:0000124,GO:0005634
Anogam|LOC1279906	GO:0001228,GO:0006357
Anofun|LOC125766456	GO:0004252
Anogam|LOC3290758	GO:0099503
Anofun|LOC125761708	GO:0005759,GO:0003676,GO:0006393,GO:0043231
Anoalb|LOC118465635	GO:0005319,GO:0006869,GO:0042626,GO:0140359,GO:0016020,GO:0055085,GO:0043231
Anogam|LOC1270528	GO:0031931,GO:0031932,GO:0032956,GO:0031929
Anogam|LOC1272786	GO:0006450,GO:0002196
Anoste|protein1369	GO:0005747,GO:0005739
Anoalb|LOC118468962	GO:0080008
Anoalb|LOC118456760	GO:0043067,GO:0097345,GO:0005740,GO:0005741,GO:0043065,GO:0005634,GO:0016020
Anogam|LOC1281851	GO:0061630
Anoste|protein7652	GO:0016936,GO:0030246
Anoalb|LOC118465876	GO:0005739,GO:0005737,GO:0016020
Anoalb|LOC118457190	GO:0000981,GO:0000977,GO:0005634,GO:0006357
Anoalb|LOC118460413	GO:0005777,GO:0005778,GO:0045046,GO:0033328
Anoalb|LOC118461228	GO:0016301,GO:0005615,GO:0004111,GO:0046314
Anoalb|LOC118458417	GO:0000981,GO:0006355,GO:0000978
Anoalb|LOC118458233	GO:0005615,GO:0006508,GO:0004181
Anoalb|LOC118463635	GO:0032218,GO:0032217,GO:0005886
Anoste|protein14422	GO:0060857,GO:0035159,GO:0019991,GO:0005886
Anofun|LOC125768252	GO:0004672
Anoalb|LOC118465059	GO:0031012,GO:0062023,GO:0030020,GO:0030198,GO:0005615
Anoalb|LOC118457036	GO:0007189,GO:0005886,GO:0004016,GO:0006171
Anofun|LOC125771073	GO:0003700
Anogam|LOC1272092	GO:0071596,GO:0005737,GO:0000151,GO:0061630,GO:0016567
Anoalb|LOC118459496	GO:0000467,GO:0071051,GO:0071044,GO:0071038,GO:0071039,GO:0000175,GO:0071035,GO:0071040,GO:0071036,GO:0000176,GO:0003727,GO:0071037,GO:0005730
Anofun|LOC125768282	GO:0016598,GO:0004057,GO:0005737
Anoalb|LOC118464207	GO:0005615,GO:0007608
Anoara|LOC120898574	GO:0061630,GO:0005634
Anogam|LOC1277778	GO:0017147,GO:0005886,GO:0060070,GO:0042813
Anoste|protein11905	GO:0042421,GO:0005507,GO:0005615,GO:0006589,GO:0004500,GO:0030667,GO:0042420
Anoalb|LOC118467830	GO:0046854,GO:0072659,GO:0005886
Anoalb|LOC118456294	GO:0035556,GO:0005737,GO:0004674
Anogam|LOC1281099	GO:0051568,GO:0042393,GO:0048188
Anoste|protein15224	GO:0016538,GO:0006357
Anoste|protein17172	GO:0005765,GO:0005770
Anoste|protein11556	GO:0006506,GO:0005783
Anoalb|LOC118465681	GO:0005634,GO:0007096
Anoste|protein4795	GO:0006891,GO:0017119
Anofun|LOC125762754	GO:0003723
Anoste|protein3105	GO:0035336,GO:0080019,GO:0005777,GO:0043231
Anoalb|LOC118465660	GO:0010468,GO:0005634
Anoste|protein6159	GO:0004252
Anoara|LOC120900431	GO:0004364,GO:0006749
Anoste|protein6951	GO:0070847,GO:0006357,GO:0016592,GO:0003712
Anoalb|LOC118464918	GO:0045333,GO:0005739,GO:0048039
Anogam|LOC1275469	GO:0043161,GO:0005634,GO:0005737,GO:0010992,GO:0043130
Anoste|protein8844	GO:0004984,GO:0016020,GO:0050911,GO:0005549,GO:0005886,GO:0007608
Anoste|protein5546	GO:0048255,GO:0003723,GO:1990817
Anoalb|LOC118462753	GO:0034472,GO:0016180,GO:0032039
Anoalb|LOC118464737	GO:0000915,GO:0000281,GO:0031106,GO:0005826
Anogam|LOC1273778	GO:0000978,GO:0001227,GO:0006357,GO:0005654
Anoalb|LOC118457920	GO:0005737,GO:0008239
Anogam|LOC1277675	GO:0003998
Anogam|LOC1270518	GO:0022857,GO:0055085,GO:0016020
Anoalb|LOC118468475	GO:0005634,GO:0006511,GO:0016055,GO:0072572,GO:0004842,GO:0061630,GO:0005737
Anoalb|LOC118466510	GO:0005267,GO:0016020,GO:0071805,GO:0015271,GO:0005886,GO:0005228
Anoara|LOC120894975	GO:0006357,GO:0006351,GO:0003700,GO:0000978,GO:0000981
Anoste|protein16687	GO:0070181,GO:0005763,GO:0019843,GO:0003735,GO:0006412,GO:0005840
Anoalb|LOC118466068	GO:0005737,GO:0005085,GO:0007411,GO:0019898
Anoste|protein13460	GO:0050821,GO:0043066
Anoste|protein9993	GO:0008194
Anogam|LOC1270104	GO:0043231,GO:0006665,GO:0046512,GO:0001727,GO:0016310,GO:0005737,GO:0016020,GO:0017050
Anogam|LOC5667838	GO:0006287,GO:0003887,GO:0006261,GO:0006297,GO:0043625,GO:0008296,GO:0045004
Anogam|LOC1280356	GO:0015918,GO:0032934
Anoste|protein6036	GO:0006508,GO:0005737,GO:0070006,GO:0016020,GO:0008270,GO:0005615,GO:0042277,GO:0043171
Anoalb|LOC118462827	GO:0005634,GO:0006357,GO:0000981,GO:0000978,GO:0030154
Anogam|LOC1270539	GO:0003677,GO:0006351
Anoste|protein7196	GO:0016020,GO:0043085,GO:0016485
Anoalb|LOC118468384	GO:0016020
Anoalb|LOC118459667	GO:0044666
Anoste|protein13066	GO:0000035,GO:0005739,GO:0006633,GO:0000036,GO:0005747
Anoalb|LOC118457538	GO:0016671,GO:0016491
Anoste|protein3092	GO:0062129,GO:0008010
Anoalb|LOC118459023	GO:0006355,GO:0000981,GO:0000978
Anoste|protein12912	GO:0008654,GO:0004512,GO:0006021
Anofun|LOC125761308	GO:0006749,GO:0004364
Anoste|protein1062	GO:0005125,GO:0005615,GO:0005576
Anoste|protein12336	GO:0005634,GO:0004594,GO:0005829,GO:0015937,GO:0005524
Anoste|protein16453	GO:0003939,GO:0006062
Anofun|LOC125767996	GO:0022625
Anoalb|LOC118456706	GO:0005829,GO:0007165,GO:0030424,GO:0030154,GO:0018107,GO:0005737,GO:0032436,GO:0090090,GO:0004674,GO:0005634,GO:0070507
Anoste|protein18551	GO:0005840,GO:0006412,GO:0003735,GO:0022627,GO:0000028
Anogam|LOC5667921	GO:0005732,GO:0003723,GO:0000493,GO:0042254
Anogam|LOC1280575	GO:0005840,GO:0006412,GO:0003735,GO:0003729,GO:0022627
Anogam|LOC1270467	GO:0046512,GO:0005576,GO:0042759,GO:0017040,GO:0046514
Anoste|protein14273	GO:0006260,GO:0042645,GO:0051096,GO:0006264,GO:0003697,GO:0009295
Anoalb|LOC118461879	GO:0006281,GO:0003917,GO:0005634,GO:0003677,GO:0006310,GO:0031422,GO:0006265
Anoalb|LOC118457575	GO:0000139,GO:0000301,GO:0007030,GO:0031985
Anofun|LOC125764305	GO:0090110,GO:0070971,GO:0005096,GO:0030127
Anoste|protein14022	GO:0051015,GO:0005737,GO:0032432,GO:0005884,GO:0051639,GO:0051017
Anogam|LOC1272609	GO:0006865,GO:0016020,GO:0071705,GO:0035725,GO:0005886,GO:0015375
Anofun|LOC125764420	GO:0001934,GO:0008283,GO:0006974,GO:0005634
Anofun|LOC125760950	GO:0005634,GO:0140297,GO:0001221,GO:0003714,GO:0006357,GO:0003713
Anoste|protein11814	GO:0045104,GO:0005737,GO:0005198,GO:0016020,GO:0005882,GO:0031122,GO:0030056,GO:0042060
Anoalb|LOC118466777	GO:0006508,GO:0004185
Anoste|protein2551	GO:0005044
Anoalb|LOC118458174	GO:0004252,GO:0005615
Anoste|protein14250	GO:0006102,GO:0004450,GO:0006739,GO:0005739
Anoalb|LOC118468312	GO:0005886,GO:0038023,GO:0033211,GO:0016020
Anogam|LOC3291344	GO:0062129,GO:0008010
Anogam|LOC1275022	GO:0006289,GO:0000111,GO:0006298,GO:0005737,GO:0005634,GO:0071942,GO:0003697,GO:0003684
Anoalb|LOC118456927	GO:0006995,GO:0000407,GO:0019779,GO:0032446,GO:0034727,GO:0019778,GO:0000045,GO:0006501,GO:0005737,GO:0000422
Anofun|LOC125770690	GO:0007186,GO:0005834,GO:0001664,GO:0019001,GO:0031683,GO:0007188,GO:0003924,GO:0005737
Anoalb|LOC118459081	GO:0005794,GO:0006493,GO:0004653
Anogam|LOC1280000	GO:0007596,GO:0072377,GO:0005201,GO:0042730,GO:0030674,GO:0005577,GO:0034116,GO:0070527
Anogam|LOC1281599	GO:0031175,GO:0043005,GO:0000226,GO:0008017
Anoalb|LOC118467798	GO:0016020,GO:0005829,GO:0008289,GO:0015248,GO:0005794,GO:0032934
Anoalb|LOC118462177	GO:0004407,GO:0040029,GO:0016575,GO:0000118
Anoste|protein17384	GO:0004984,GO:0007608,GO:0005549,GO:0016020,GO:0050911,GO:0005886
Anoalb|LOC118464364	GO:0034220,GO:0005216,GO:0004888,GO:0016020
Anoalb|LOC118466973	GO:0072669
Anoalb|LOC118467926	GO:0060271,GO:0035721,GO:0005929,GO:0030991
Anoalb|LOC118459264	GO:0016020
Anoara|LOC120898485	GO:0043161,GO:0005634,GO:0000045,GO:0005829,GO:0031468,GO:0043130,GO:0007030,GO:0061025
Anoalb|LOC118466561	GO:0043005,GO:0005886,GO:0004930,GO:0042277
Anoste|protein9478	GO:0051015,GO:0005737,GO:0016460,GO:0032982,GO:0000146
Anoste|protein2044	GO:0008234
Anogam|LOC1275381	GO:0005737,GO:0004326,GO:0009396,GO:0005739,GO:0046901,GO:0005524,GO:0005829
Anoara|LOC120902424	GO:0031267,GO:0000070,GO:0005828,GO:0007094,GO:1990423,GO:0005737,GO:1903394
Anoara|LOC120900462	GO:0005634,GO:0006357,GO:0000981,GO:0005667,GO:0000978
Anogam|LOC1271680	GO:0060271,GO:0005879,GO:0005814
Anoalb|LOC118462856	GO:0031417,GO:0017196,GO:0006474
Anoalb|LOC118466409	GO:0005739,GO:0016702
Anoara|LOC120905460	GO:0036503,GO:0005789
Anogam|LOC1276190	GO:0070935,GO:0003730,GO:0008494,GO:0045948,GO:0005737
Anoara|LOC120895149	GO:0016012
Anoalb|LOC118459598	GO:0047238,GO:0030206,GO:0008376
Anoalb|LOC118464842	GO:0000082,GO:0004674,GO:0005737,GO:0010033,GO:0006468,GO:0005634,GO:0000307,GO:0010389,GO:0004693,GO:0030332,GO:0007165,GO:0010468
Anoalb|LOC118460947	GO:0008080
Anoste|protein804	GO:0004838,GO:0006572,GO:0006559
Anoalb|LOC118458514	GO:0045134,GO:0005509,GO:0017110,GO:0004382,GO:0030166
Anoste|protein3187	GO:0019208,GO:0005737,GO:0004857
Anoste|protein4506	GO:0016491
Anogam|LOC1274814	GO:1990726,GO:0006397,GO:0046540,GO:0003723,GO:0000398,GO:0071013,GO:0005688,GO:0071011,GO:0000932
Anoste|protein13072	GO:0042273,GO:0030687,GO:0005730
Anoste|protein744	GO:0007018,GO:0003777
Anoalb|LOC118456737	GO:0004359,GO:0005737,GO:0003952,GO:0009435
Anoara|LOC120896454	GO:0005802,GO:0016020,GO:0004252,GO:0016485,GO:0000139,GO:0016486
Anoste|protein1250	GO:0016887,GO:0005737
Anoalb|LOC118465717	GO:0003796
Anoste|protein13683	GO:0006355,GO:0005634,GO:0003712
Anogam|LOC1270139	GO:0005634,GO:0000724,GO:0015616,GO:0007131
Anoste|protein85	GO:0038166,GO:0005886
Anofun|LOC125761643	GO:0004888,GO:0005216,GO:0016020,GO:0034220
Anofun|LOC125762299	GO:0030968
Anoalb|LOC118459502	GO:0048476,GO:0031297,GO:0031573,GO:0008821,GO:0006281,GO:0006302,GO:0000712,GO:0005634
Anoara|LOC120904163	GO:0034709,GO:0007309
Anoalb|LOC118467119	GO:0006900,GO:0005771,GO:0000815,GO:0032511,GO:0007034,GO:0009898
Anogam|LOC1272226	GO:0048024,GO:0003729,GO:0005634
Anoste|protein17905	GO:0006814,GO:0015293
Anoste|protein10896	GO:0003724,GO:0005829
Anoalb|LOC118468639	GO:0030198,GO:0050839,GO:0031012,GO:0007155,GO:0005615
Anoalb|LOC118464756	GO:0000932,GO:0050072,GO:0016787,GO:0000340,GO:0005634,GO:0000290
Anoalb|LOC118461009	GO:0061666,GO:0032434,GO:0005789,GO:0071569,GO:0034976,GO:0071568,GO:1990592
Anogam|LOC1278255	GO:0003677,GO:0006355
Anoste|protein14474	GO:0006406,GO:0000445
Anoalb|LOC118468984	GO:0007268,GO:0051378,GO:0004993,GO:0007187,GO:0030425,GO:0007210,GO:0030594,GO:0005886
Anogam|LOC1280057	GO:0019888,GO:0005829,GO:0000159,GO:0005634,GO:0005737,GO:0006470
Anogam|LOC133392987	GO:0006406,GO:0000124,GO:0003713,GO:0045893
Anofun|LOC125770470	GO:0061798,GO:0061799,GO:0006777
Anofun|LOC125769546	GO:0005634
Anoste|protein18631	GO:0016020
Anoste|protein1215	GO:0006032,GO:0008061,GO:0004568,GO:0005576
Anoste|protein2368	GO:0016779,GO:0006450,GO:0005737,GO:0000049
Anoste|protein15063	GO:0005737
Anogam|LOC1277161	GO:0016491
Anofun|LOC125767637	GO:0030488,GO:0008168,GO:0016300
Anofun|LOC125769877	GO:0032981,GO:0051082,GO:0010257,GO:0006120,GO:0005739
Anoste|protein17473	GO:0000266,GO:0005739
Anoste|protein12401	GO:0004307,GO:0004142,GO:0005794,GO:0006646,GO:0005789
Anogam|LOC1279764	GO:0006436,GO:0004830,GO:0005737
Anoste|protein15084	GO:0006749,GO:0004364
Anoste|protein349	GO:0042802,GO:0071805,GO:0016020,GO:0005267
Anoalb|LOC118465883	GO:0043542,GO:0007266,GO:0030424,GO:0005886,GO:0030139
Anoste|protein2080	GO:0042391,GO:0005249,GO:0005242,GO:0005886,GO:0071805
Anoalb|LOC118457064	GO:0001401,GO:0005737,GO:0007005
Anoste|protein17598	GO:0101006,GO:0035971,GO:0005829
Anoalb|LOC118460707	GO:0000175
Anogam|LOC1271600	GO:0000226,GO:0051225,GO:0000922,GO:0051321,GO:0007020,GO:0043015,GO:0000278,GO:0000930,GO:0051011,GO:0005815,GO:0031122
Anogam|LOC3292124	GO:0003682,GO:0005634,GO:0045892,GO:0042393
Anoalb|LOC118461668	GO:0031902,GO:0016020,GO:0005765,GO:0005886,GO:0072594
Anoste|protein14004	GO:0000398,GO:0005689
Anogam|LOC11175715	GO:0003723,GO:0098789
Anoalb|LOC118466707	GO:0005813,GO:0030496,GO:0000281,GO:0000724,GO:0032465,GO:0005765,GO:0032266
Anogam|LOC1271054	GO:0015248,GO:0005829,GO:0005886,GO:0008289,GO:0016020,GO:0032934,GO:0097038
Anoara|LOC120901345	GO:0000981,GO:0006357,GO:0000978,GO:0005634
Anogam|LOC3291573	GO:0019901,GO:0005737,GO:0007088,GO:0060236,GO:0032147,GO:0005634
Anoalb|LOC118468936	GO:0005829
Anoste|protein13637	GO:0006890,GO:0017119,GO:0007030,GO:0006886
Anoalb|LOC118456887	GO:0005506,GO:0016491
Anoalb|LOC118457168	GO:0032502,GO:0000977,GO:0006357,GO:0000981
Anoalb|LOC118464319	GO:0000139,GO:0016971,GO:0006457,GO:0003756,GO:0005615
Anoste|protein18194	GO:0005819,GO:0061172,GO:0000132
Anoalb|LOC118461099	GO:0016887,GO:0017025,GO:0003677
Anoste|protein160	GO:0006210,GO:0005829,GO:0017113,GO:0002058,GO:0050661,GO:0006212
Anoalb|LOC118459588	GO:0004568,GO:0008061,GO:0005576,GO:0006032
Anoste|protein16071	GO:0005886,GO:0016020,GO:0007186,GO:0004995
Anogam|LOC133393867	GO:0015918,GO:0032934
Anoalb|LOC118460971	GO:0017150,GO:0003723
Anogam|LOC1269683	GO:0005576
Anoara|LOC120903663	GO:0042800,GO:0006355,GO:0005654
Anoalb|LOC118460952	GO:0046488,GO:0051209,GO:0007186,GO:0007265,GO:0035556,GO:0004435,GO:0048015
Anoara|LOC120898580	GO:0005737,GO:0050684,GO:0004674,GO:0005634,GO:0018105,GO:0000245
Anoste|protein16052	GO:0016020,GO:0020037,GO:0043231
Anoara|LOC120895033	GO:0005737,GO:0000302,GO:0006629
Anofun|LOC125768467	GO:0007268,GO:0060271,GO:0097539,GO:0007005,GO:0005814
Anofun|LOC125771021	GO:0007264,GO:0005525
Anoalb|LOC118462763	GO:0006334,GO:0042393,GO:0005730,GO:0006360,GO:0003677
Anogam|LOC1277605	GO:0003735,GO:0005762
Anoste|protein17709	GO:0090141,GO:0035970,GO:0004722,GO:0005739
Anoalb|LOC118464871	GO:0005886,GO:0007605,GO:0016020
Anoalb|LOC118457002	GO:0000978,GO:0000981,GO:0007548,GO:0006355,GO:0005634,GO:0006357
Anoalb|LOC118456499	GO:0007423,GO:0005634,GO:0000981,GO:0070888,GO:0061564,GO:0003700,GO:0045944
Anogam|LOC1278081	GO:0003723,GO:0071013,GO:0000398
Anoste|protein13229	GO:0005762,GO:0005840,GO:0032543,GO:0006412,GO:0003735
Anoara|LOC120906002	GO:0005762,GO:0005761
Anoalb|LOC118459007	GO:0005829,GO:0008310
Anoste|protein18512	GO:0016180,GO:0032039
Anoste|protein9289	GO:0003724,GO:0005622,GO:0002151,GO:0005737,GO:0003678,GO:0004386,GO:0005634,GO:0003723,GO:0051880
Anoste|protein7269	GO:0019843,GO:0043024,GO:0005739,GO:0032543
Anogam|LOC1275663	GO:0015018,GO:0050650,GO:0000139,GO:0005975,GO:0016020
Anogam|LOC5667260	GO:0006511,GO:0031624,GO:0005737,GO:0043161,GO:0007275,GO:0061630
Anoalb|LOC118462534	GO:0015375,GO:0071705,GO:0035725,GO:0016020,GO:0006865,GO:0005886
Anoalb|LOC118457251	GO:0004312,GO:0006633
Anoalb|LOC118460781	GO:0000398,GO:0005681
Anoste|protein638	GO:0016020,GO:0005783,GO:0005794,GO:0005886
Anoalb|LOC118457270	GO:0008017,GO:0005930,GO:0051493
Anoalb|LOC118460373	GO:0015293,GO:0006814
Anofun|LOC125766345	GO:0043005
Anogam|LOC4578094	GO:0000981,GO:0005667,GO:0000978,GO:0031519,GO:0000785,GO:0006357
Anogam|LOC1274025	GO:0032040,GO:0005730,GO:0030686,GO:0000462
Anogam|LOC5668415	GO:0043130,GO:0043161,GO:0005634
Anoara|LOC120905980	GO:0007165
Anogam|LOC1277396	GO:0005942,GO:0046854,GO:0046935
Anogam|LOC1276849	GO:0005886
Anoste|protein16430	GO:0016020,GO:0042761,GO:0034626,GO:0019367,GO:0030148,GO:0005789,GO:0034625,GO:0009922
Anoalb|LOC118464699	GO:0089718,GO:0016020,GO:0005283,GO:0015179,GO:0005886,GO:0035725,GO:0006865,GO:0071705
Anoalb|LOC118465425	GO:0010468,GO:0005634
Anofun|LOC125770978	GO:0007186
Anoste|protein1041	GO:0007165
Anofun|LOC125761103	GO:0003924
Anoste|protein3836	GO:0005525
Anoara|LOC120904955	GO:0022857,GO:0016020,GO:0055085
Anoalb|LOC118466932	GO:0005737
Anoalb|LOC118457364	GO:0005615,GO:0032504
Anoste|protein16709	GO:0005848,GO:0031124,GO:0003723
Anoste|protein6551	GO:0031012,GO:0005615
Anoste|protein17481	GO:0006511,GO:0004842
Anoara|LOC120894495	GO:0005615
Anoalb|LOC118464793	GO:0005737
Anogam|LOC1269662	GO:0000715,GO:0003684,GO:0006289,GO:0070914,GO:0000110,GO:0006284,GO:1901255
Anoalb|LOC118461225	GO:0006357,GO:0003700,GO:0005634,GO:0000978,GO:0000981,GO:0003677
Anoste|protein15693	GO:0008545,GO:0004708,GO:0000165
