Anoste|protein15941	GO:0005525(InterPro)|GO:0007165(InterPro)|GO:0016020(InterPro)
Anoalb|LOC118468354	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)
Anogam|LOC1277751	GO:0005737(PANTHER)|GO:0006470(InterPro)|GO:0008138(PANTHER)|GO:0008138(InterPro)|GO:0033549(PANTHER)|GO:0043409(PANTHER)
Anoste|protein14379	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0008143(InterPro)|GO:0008143(PANTHER)|GO:0043488(InterPro)|GO:0043488(PANTHER)|GO:1900364(PANTHER)
Anogam|LOC1271937	GO:0000049(PANTHER)|GO:0002939(PANTHER)|GO:0005634(PANTHER)|GO:0005654(PANTHER)|GO:0009019(PANTHER)
Anoste|protein14846	GO:0005654(PANTHER)
Anogam|LOC1277778	GO:0005886(PANTHER)|GO:0017147(PANTHER)|GO:0042813(PANTHER)|GO:0060070(PANTHER)
Anogam|LOC1275569	GO:0005886(PANTHER)|GO:0006812(InterPro)|GO:0015385(InterPro)|GO:0015385(PANTHER)|GO:0015386(PANTHER)|GO:0016020(InterPro)|GO:0051453(PANTHER)|GO:0055037(PANTHER)|GO:0071805(PANTHER)|GO:0098719(PANTHER)|GO:1902600(InterPro)
Anofun|LOC125765894	-
Anoste|protein5623	GO:0000785(PANTHER)|GO:0003712(PANTHER)|GO:0006357(PANTHER)|GO:0016925(PANTHER)|GO:0061665(PANTHER)
Anogam|LOC1278929	GO:0007018(InterPro)|GO:0030286(InterPro)|GO:0045505(InterPro)|GO:0051959(InterPro)
Anoste|protein16676	GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0043565(PANTHER)
Anofun|LOC125772219	GO:0003700(InterPro)
Anoste|protein6229	GO:0005267(InterPro)|GO:0005886(PANTHER)|GO:0015271(PANTHER)|GO:0016020(InterPro)|GO:0022841(PANTHER)|GO:0030322(PANTHER)|GO:0071805(PANTHER)|GO:0071805(InterPro)
Anoalb|LOC118457904	GO:0140662(InterPro)
Anoara|LOC120902220	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoste|protein6047	GO:0005886(PANTHER)|GO:0005886(InterPro)
Anofun|LOC125761140	-
Anogam|LOC1277339	GO:0004197(InterPro)|GO:0005737(PANTHER)|GO:0006508(InterPro)|GO:0006915(PANTHER)|GO:0043525(PANTHER)|GO:0097153(PANTHER)
Anoalb|LOC118467048	GO:0003677(PANTHER)|GO:0003725(PANTHER)|GO:0045893(PANTHER)|GO:0071013(PANTHER)
Anoalb|LOC118463928	-
Anoara|LOC120895616	GO:0004674(PANTHER)|GO:0005634(PANTHER)|GO:0006468(PANTHER)|GO:0043484(PANTHER)
Anoste|protein10975	GO:0000981(PANTHER)|GO:0006357(PANTHER)|GO:0035497(PANTHER)
Anoalb|LOC118457390	-
Anoste|protein12506	GO:0000380(PANTHER)|GO:0000381(PANTHER)|GO:0003723(PANTHER)|GO:0006376(PANTHER)|GO:0071011(PANTHER)|GO:0071013(PANTHER)
Anogam|LOC1273915	GO:0005634(PANTHER)|GO:0006368(InterPro)|GO:0016593(InterPro)|GO:0032968(PANTHER)|GO:1990269(PANTHER)
Anoalb|LOC118457765	GO:0016491(PANTHER)|GO:0050660(InterPro)
Anoalb|LOC118459981	GO:0004252(PANTHER)|GO:0006508(PANTHER)|GO:0012501(PANTHER)|GO:0043065(PANTHER)
Anoara|LOC120894163	GO:0001522(InterPro)|GO:0003723(InterPro)|GO:0005634(PANTHER)|GO:0009451(InterPro)|GO:0009982(InterPro)|GO:0009982(PANTHER)|GO:0031119(PANTHER)|GO:1990481(PANTHER)
Anoalb|LOC118463613	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
Anoste|protein2729	GO:0003712(PANTHER)|GO:0016592(InterPro)|GO:0016592(PANTHER)|GO:0060261(PANTHER)
Anoalb|LOC118467642	GO:0004674(PANTHER)|GO:0004675(InterPro)|GO:0005024(PANTHER)|GO:0005524(InterPro)|GO:0005886(PANTHER)|GO:0006468(PANTHER)|GO:0007178(InterPro)|GO:0016020(InterPro)|GO:0030509(PANTHER)|GO:0043235(PANTHER)|GO:0071363(PANTHER)
Anogam|LOC1269284	GO:0007635(PANTHER)|GO:0008049(PANTHER)|GO:0030424(PANTHER)|GO:0030425(PANTHER)|GO:0043025(PANTHER)
Anoste|protein6667	GO:0140575(InterPro)
Anofun|LOC125762924	GO:0016020(PANTHER)|GO:0042626(PANTHER)|GO:0055085(PANTHER)
Anoalb|LOC118468876	GO:0005789(PANTHER)|GO:0009922(PANTHER)|GO:0009922(InterPro)|GO:0016020(InterPro)|GO:0019367(PANTHER)|GO:0030148(PANTHER)|GO:0034625(PANTHER)|GO:0034626(PANTHER)|GO:0042761(PANTHER)
Anofun|LOC125761836	-
Anogam|LOC1273250	GO:0005743(PANTHER)|GO:0015421(PANTHER)|GO:0090374(PANTHER)
Anoalb|LOC118458909	GO:0000727(PANTHER)|GO:0003677(InterPro)|GO:0003697(PANTHER)|GO:0005524(InterPro)|GO:0005634(PANTHER)|GO:0006271(PANTHER)|GO:0017116(PANTHER)|GO:0042555(PANTHER)|GO:1902975(PANTHER)
Anoste|protein17560	GO:0005164(PANTHER)|GO:0005778(PANTHER)|GO:0006513(PANTHER)|GO:0016235(PANTHER)|GO:0031625(PANTHER)|GO:0051865(PANTHER)|GO:0061630(PANTHER)|GO:0070842(PANTHER)
Anoalb|LOC118457683	GO:0006814(PANTHER)|GO:0015293(PANTHER)
Anoste|protein16939	-
Anoalb|LOC118467911	GO:0006357(PANTHER)|GO:0035098(PANTHER)
Anoste|protein6860	-
Anoste|protein16451	GO:0005315(PANTHER)|GO:0005315(InterPro)|GO:0005743(PANTHER)|GO:0035435(PANTHER)|GO:1990547(InterPro)
Anoalb|LOC118467793	GO:0016491(PANTHER)|GO:0046592(PANTHER)
Anoara|LOC120899797	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anoara|LOC120901201	-
Anoalb|LOC118464411	GO:0005737(PANTHER)|GO:0005886(PANTHER)|GO:0005942(PANTHER)|GO:0016020(PANTHER)|GO:0016303(PANTHER)|GO:0016477(PANTHER)|GO:0035005(PANTHER)|GO:0036092(PANTHER)|GO:0043491(PANTHER)|GO:0046854(InterPro)|GO:0046854(PANTHER)|GO:0048015(PANTHER)|GO:0052742(PANTHER)
Anofun|LOC125771433	GO:0005886(PANTHER)
Anogam|LOC1271753	-
Anofun|LOC125769646	GO:0000479(PANTHER)|GO:0004521(PANTHER)|GO:0005730(PANTHER)|GO:0006396(InterPro)
Anogam|LOC1275981	GO:0000796(InterPro)|GO:0000796(PANTHER)|GO:0003682(PANTHER)|GO:0007076(PANTHER)|GO:0007076(InterPro)
Anoalb|LOC118457789	GO:0005759(PANTHER)|GO:0017136(PANTHER)|GO:0070403(PANTHER)
Anogam|LOC1271590	GO:0004843(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0007010(PANTHER)|GO:0016477(PANTHER)|GO:0030177(PANTHER)|GO:0035523(PANTHER)|GO:0070530(PANTHER)|GO:0071947(PANTHER)|GO:1990168(PANTHER)
Anoalb|LOC118468984	GO:0004993(PANTHER)|GO:0005886(PANTHER)|GO:0007187(PANTHER)|GO:0007210(PANTHER)|GO:0007268(PANTHER)|GO:0030425(PANTHER)|GO:0030594(PANTHER)|GO:0051378(PANTHER)
Anoste|protein17708	-
Anoalb|LOC118461216	-
Anogam|LOC5667938	GO:0017171(PANTHER)
Anofun|LOC125764215	GO:0003725(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0016442(PANTHER)|GO:0030422(PANTHER)|GO:0035197(PANTHER)|GO:0070578(PANTHER)|GO:0070920(PANTHER)
Anoara|LOC120899692	GO:0007283(PANTHER)|GO:0030719(PANTHER)|GO:0034587(PANTHER)|GO:0043186(PANTHER)
Anoalb|LOC118466804	GO:0005829(PANTHER)|GO:0035194(PANTHER)|GO:0043186(PANTHER)
Anoste|protein12685	GO:0003333(PANTHER)|GO:0005774(PANTHER)|GO:0015179(PANTHER)|GO:0016020(PANTHER)
Anoalb|LOC118460545	GO:0008010(PANTHER)|GO:0062129(PANTHER)
Anoalb|LOC118464606	-
Anoste|protein6174	GO:0000014(PANTHER)|GO:0004519(PANTHER)|GO:0004521(PANTHER)|GO:0005634(PANTHER)|GO:0005743(PANTHER)|GO:0006309(PANTHER)
Anoalb|LOC118468685	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anoalb|LOC118460127	GO:0004674(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)
Anoalb|LOC118463222	GO:0000062(PANTHER)
Anoalb|LOC118464554	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC1270480	GO:0005768(PANTHER)|GO:0006904(PANTHER)|GO:0007032(PANTHER)|GO:0007033(PANTHER)|GO:0007040(PANTHER)|GO:0008333(PANTHER)|GO:0030674(PANTHER)|GO:0030897(PANTHER)|GO:0048284(PANTHER)
Anogam|LOC4577657	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
Anoalb|LOC118465647	GO:0005794(PANTHER)|GO:0005874(PANTHER)|GO:0008017(InterPro)|GO:0031267(InterPro)|GO:0048870(InterPro)
Anogam|LOC3290956	-
Anoalb|LOC118461220	GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0007010(PANTHER)|GO:0008360(PANTHER)
Anoste|protein3072	GO:0004659(PANTHER)|GO:0005739(PANTHER)|GO:0006744(PANTHER)|GO:0008299(PANTHER)|GO:1990234(PANTHER)
Anoste|protein3298	GO:0005684(PANTHER)|GO:0034247(PANTHER)
Anoalb|LOC118468403	GO:0000981(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0006357(InterPro)|GO:0030154(PANTHER)
Anoste|protein12616	GO:0000149(PANTHER)|GO:0001786(PANTHER)|GO:0005509(PANTHER)|GO:0005544(PANTHER)|GO:0005886(PANTHER)|GO:0017156(PANTHER)|GO:0030276(PANTHER)|GO:0070382(PANTHER)
Anofun|LOC125771606	GO:0004888(InterPro)|GO:0005216(InterPro)|GO:0016020(InterPro)|GO:0034220(InterPro)
Anoalb|LOC118457494	GO:0005634(PANTHER)|GO:0010468(PANTHER)
Anoste|protein17801	GO:0044233(PANTHER)|GO:0044233(InterPro)|GO:0051560(InterPro)|GO:0051560(PANTHER)|GO:1990456(PANTHER)|GO:1990456(InterPro)
Anoalb|LOC118459890	-
Anogam|LOC3290322	GO:0003723(PANTHER)|GO:0005739(PANTHER)|GO:0005739(InterPro)|GO:0007005(PANTHER)|GO:0007275(PANTHER)|GO:0050684(PANTHER)|GO:0050684(InterPro)
Anoste|protein8774	GO:0000086(PANTHER)|GO:0004674(PANTHER)|GO:0004693(PANTHER)|GO:0005634(PANTHER)|GO:0006468(PANTHER)|GO:0007095(PANTHER)
Anoalb|LOC118465183	GO:0008010(PANTHER)|GO:0062129(PANTHER)
Anogam|LOC1269347	-
Anoara|LOC120906763	GO:0005783(PANTHER)|GO:0035307(PANTHER)|GO:0042326(PANTHER)|GO:0051721(PANTHER)
Anoste|protein13086	GO:0005814(PANTHER)|GO:0036064(PANTHER)|GO:0060271(PANTHER)|GO:0060271(InterPro)|GO:0090162(InterPro)|GO:0097539(InterPro)
Anoste|protein17503	-
Anogam|LOC1273599	-
Anoara|LOC120898580	GO:0000245(PANTHER)|GO:0004674(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0018105(PANTHER)|GO:0050684(PANTHER)
Anoste|protein10612	GO:0005096(PANTHER)|GO:0005769(PANTHER)|GO:0090630(PANTHER)
Anoalb|LOC118462665	GO:0005175(PANTHER)|GO:0097191(PANTHER)
Anogam|LOC4577253	-
Anoalb|LOC118468879	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0005667(PANTHER)|GO:0006357(PANTHER)|GO:0035259(PANTHER)|GO:0071376(PANTHER)
Anogam|LOC4576994	GO:0004758(PANTHER)|GO:0017059(PANTHER)|GO:0046513(PANTHER)
Anofun|LOC125772281	GO:0016020(PANTHER)
Anogam|LOC1275899	GO:0016020(InterPro)|GO:0055085(InterPro)
Anoalb|LOC118466833	GO:0000122(PANTHER)|GO:0003714(PANTHER)|GO:0005634(PANTHER)
Anoste|protein3871	GO:0005615(PANTHER)|GO:0031012(PANTHER)
Anoste|protein13758	GO:0008781(PANTHER)
Anoara|LOC120894836	-
Anoste|protein15849	GO:0005737(PANTHER)|GO:0030424(PANTHER)
Anoalb|LOC118459155	GO:0004222(InterPro)|GO:0004222(PANTHER)|GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0016485(PANTHER)
Anofun|LOC125772331	GO:0008017(PANTHER)|GO:0048487(PANTHER)
Anoalb|LOC118457767	GO:0016491(PANTHER)|GO:0050660(InterPro)
Anogam|LOC133393040	GO:0005737(PANTHER)|GO:0005739(PANTHER)|GO:0005876(PANTHER)|GO:0008017(PANTHER)|GO:0097431(PANTHER)
Anogam|LOC1270593	GO:0016192(InterPro)
Anoalb|LOC118467236	-
Anoalb|LOC118457002	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(InterPro)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0006357(PANTHER)|GO:0007548(PANTHER)
Anoste|protein7787	GO:0140662(InterPro)
Anogam|LOC1271053	GO:0003924(PANTHER)|GO:0005047(PANTHER)|GO:0005789(PANTHER)|GO:0006605(PANTHER)|GO:0016020(PANTHER)|GO:0045047(PANTHER)
Anofun|LOC125763825	-
Anofun|LOC125769546	GO:0005634(PANTHER)
Anoalb|LOC118468515	GO:0016491(PANTHER)|GO:0046592(PANTHER)
Anoalb|LOC118457730	-
Anogam|LOC5667146	GO:0005747(PANTHER)
Anoste|protein9558	GO:0000176(PANTHER)|GO:0000178(InterPro)|GO:0005737(PANTHER)|GO:0006396(InterPro)
Anoalb|LOC118468788	-
Anoalb|LOC118464723	GO:0003729(InterPro)|GO:0005685(InterPro)|GO:0006376(InterPro)
Anoara|LOC120906190	-
Anoalb|LOC118464065	GO:0005330(PANTHER)|GO:0005886(PANTHER)|GO:0006865(PANTHER)|GO:0015874(PANTHER)|GO:0016020(InterPro)|GO:0030424(PANTHER)|GO:0032809(PANTHER)|GO:0035725(PANTHER)|GO:0042734(PANTHER)|GO:0051583(PANTHER)|GO:0071705(PANTHER)
Anofun|LOC125769877	GO:0005739(PANTHER)|GO:0006120(PANTHER)|GO:0010257(PANTHER)|GO:0032981(PANTHER)|GO:0051082(PANTHER)
Anogam|LOC1271371	GO:0003899(InterPro)|GO:0006351(InterPro)|GO:0032549(InterPro)
Anogam|LOC5666907	-
Anoste|protein10741	GO:0005737(PANTHER)|GO:0006457(InterPro)|GO:0007017(PANTHER)|GO:0007021(PANTHER)|GO:0015631(PANTHER)|GO:0016272(PANTHER)|GO:0016272(InterPro)
Anoara|LOC120898007	-
Anoalb|LOC118463510	GO:0000978(PANTHER)|GO:0000981(InterPro)|GO:0000981(PANTHER)|GO:0006357(InterPro)|GO:0006357(PANTHER)
Anoalb|LOC118457706	GO:0005245(PANTHER)|GO:0005891(PANTHER)
Anogam|LOC1273820	GO:0005886(PANTHER)
Anoara|LOC120897505	-
Anoste|protein4370	GO:0043565(InterPro)
Anoalb|LOC118467271	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0016567(PANTHER)|GO:0019005(PANTHER)
Anoalb|LOC118461940	GO:0003834(PANTHER)|GO:0004744(PANTHER)|GO:0010436(PANTHER)|GO:0016121(PANTHER)|GO:0016702(InterPro)|GO:0042574(PANTHER)
Anoalb|LOC118466212	-
Anogam|LOC1269339	GO:0000175(PANTHER)|GO:0004518(InterPro)|GO:0005634(PANTHER)|GO:0034477(PANTHER)|GO:0034477(InterPro)
Anoste|protein3554	GO:0008270(PANTHER)|GO:0016603(PANTHER)|GO:0017186(PANTHER)
Anofun|LOC125762617	GO:0005044(PANTHER)|GO:0005737(PANTHER)|GO:0016020(InterPro)
Anoalb|LOC118463113	GO:0005739(PANTHER)|GO:0006744(PANTHER)|GO:0008168(PANTHER)|GO:0010420(PANTHER)
Anogam|LOC1271366	GO:0000309(PANTHER)|GO:0004515(PANTHER)|GO:0009435(PANTHER)
Anoalb|LOC118459113	GO:0005794(PANTHER)
Anoste|protein2183	GO:0005634(PANTHER)|GO:0006307(InterPro)|GO:0006355(PANTHER)
Anoste|protein4451	GO:0005886(PANTHER)|GO:0007188(PANTHER)|GO:0008528(PANTHER)|GO:0017046(PANTHER)
Anoara|LOC120896841	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anoste|protein9730	GO:0004756(PANTHER)|GO:0005524(InterPro)|GO:0005737(PANTHER)|GO:0016260(PANTHER)
Anoalb|LOC118459684	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoste|protein12945	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anofun|LOC125761088	-
Anoste|protein6990	GO:0016020(PANTHER)
Anoste|protein10841	GO:0008092(PANTHER)|GO:0031344(PANTHER)
Anofun|LOC125766869	-
Anoste|protein14589	GO:0016491(PANTHER)|GO:0050660(InterPro)
Anofun|LOC125765339	GO:0004089(InterPro)|GO:0008270(InterPro)
Anoalb|LOC118456667	GO:0006891(PANTHER)|GO:0007030(PANTHER)|GO:0007030(InterPro)|GO:0015031(InterPro)|GO:0016020(InterPro)|GO:0017119(PANTHER)
Anoste|protein6553	GO:0005615(PANTHER)|GO:0031012(PANTHER)
Anoalb|LOC118468687	GO:0000932(PANTHER)|GO:0001666(PANTHER)|GO:0003714(PANTHER)|GO:0005634(PANTHER)|GO:0005667(PANTHER)|GO:0005912(PANTHER)|GO:0006355(PANTHER)|GO:0007010(PANTHER)|GO:0035331(PANTHER)
Anogam|LOC133391899	-
Anoste|protein8689	GO:0006108(InterPro)|GO:0016615(InterPro)
Anoste|protein8877	-
Anoalb|LOC118456717	GO:0002143(PANTHER)|GO:0004792(PANTHER)|GO:0005737(PANTHER)|GO:0016779(PANTHER)|GO:0032447(PANTHER)|GO:0042292(PANTHER)
Anoalb|LOC118456944	GO:0005242(InterPro)|GO:0005242(PANTHER)|GO:0005886(PANTHER)|GO:0006813(InterPro)|GO:0016020(InterPro)|GO:0034765(PANTHER)|GO:1990573(PANTHER)
Anofun|LOC125762631	-
Anoste|protein15550	GO:0005634(PANTHER)|GO:0005762(PANTHER)|GO:0070125(PANTHER)|GO:0070877(PANTHER)
Anofun|LOC125761528	GO:0005737(PANTHER)|GO:0006886(PANTHER)|GO:0007034(PANTHER)
Anoste|protein12360	GO:0005525(InterPro)
Anoste|protein16757	GO:0005634(PANTHER)
Anoste|protein2088	-
Anogam|LOC1269413	-
Anoalb|LOC118460445	GO:0005178(PANTHER)|GO:0007160(PANTHER)|GO:0007229(InterPro)|GO:0030055(PANTHER)
Anoalb|LOC118461123	GO:0005096(PANTHER)|GO:0016477(PANTHER)|GO:0030030(PANTHER)|GO:0046578(PANTHER)|GO:0097060(PANTHER)
Anogam|LOC1271852	GO:0005783(PANTHER)|GO:0005783(InterPro)
Anoalb|LOC118461437	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoste|protein15206	-
Anoste|protein18256	GO:0000290(PANTHER)|GO:0000932(PANTHER)|GO:0003729(PANTHER)|GO:0016070(PANTHER)|GO:1990726(PANTHER)
Anogam|LOC1277103	GO:0000139(PANTHER)|GO:0005789(PANTHER)|GO:0022857(PANTHER)|GO:0046963(PANTHER)|GO:0046964(PANTHER)|GO:0055085(InterPro)|GO:0055085(PANTHER)
Anoalb|LOC118457252	GO:0007030(PANTHER)|GO:0010008(PANTHER)|GO:0019894(PANTHER)|GO:0032418(PANTHER)|GO:0032880(PANTHER)
Anogam|LOC1276769	GO:0005768(PANTHER)|GO:0007165(PANTHER)|GO:0016020(PANTHER)|GO:0030276(PANTHER)
Anoara|LOC120895874	GO:0005783(PANTHER)|GO:0042264(PANTHER)|GO:0042264(InterPro)|GO:0062101(InterPro)
Anoste|protein15970	-
Anofun|LOC125767956	GO:0000978(PANTHER)|GO:0001228(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoalb|LOC118467419	GO:0005886(PANTHER)|GO:0006865(PANTHER)|GO:0015171(PANTHER)
Anogam|LOC1280767	-
Anofun|LOC125765002	GO:0016491(PANTHER)|GO:0050660(InterPro)
Anogam|LOC3291263	GO:0000278(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0035556(PANTHER)|GO:0072354(PANTHER)
Anogam|LOC133391793	GO:0007635(PANTHER)|GO:0008049(PANTHER)|GO:0030424(PANTHER)|GO:0030425(PANTHER)|GO:0043025(PANTHER)
Anofun|LOC125767154	GO:0005615(PANTHER)|GO:0031012(PANTHER)
Anoste|protein16694	-
Anoste|protein8213	-
Anoalb|LOC118461910	GO:0001054(PANTHER)|GO:0003899(PANTHER)|GO:0003899(InterPro)|GO:0005736(PANTHER)|GO:0006351(InterPro)|GO:0006363(PANTHER)
Anogam|LOC1274661	GO:0003906(PANTHER)|GO:0003906(InterPro)|GO:0005634(PANTHER)|GO:0006302(InterPro)|GO:0006302(PANTHER)|GO:0008408(InterPro)|GO:0035861(PANTHER)
Anoalb|LOC118467373	-
Anoalb|LOC118462720	GO:0005634(PANTHER)|GO:0016586(PANTHER)|GO:0031490(PANTHER)|GO:0035098(PANTHER)
Anoste|protein15989	GO:0005516(PANTHER)|GO:0005886(PANTHER)|GO:0007268(InterPro)|GO:0016081(PANTHER)|GO:0016082(PANTHER)|GO:0017075(PANTHER)|GO:0019992(InterPro)|GO:0030672(PANTHER)|GO:0031594(PANTHER)|GO:0035249(PANTHER)|GO:0042734(PANTHER)|GO:0043195(PANTHER)|GO:0061789(PANTHER)|GO:0098831(PANTHER)|GO:0099525(PANTHER)
Anoste|protein878	-
Anogam|LOC3290561	GO:0010972(PANTHER)
Anoalb|LOC118457806	-
Anoalb|LOC118460781	GO:0000398(PANTHER)|GO:0000398(InterPro)|GO:0005681(PANTHER)
Anogam|LOC133393743	-
Anoste|protein7061	GO:0005737(PANTHER)|GO:0045505(PANTHER)|GO:0051087(InterPro)|GO:0070286(InterPro)|GO:0070286(PANTHER)
Anogam|LOC1279324	GO:0000723(PANTHER)|GO:0003690(PANTHER)|GO:0006303(PANTHER)|GO:0042162(PANTHER)|GO:0043564(PANTHER)
Anoste|protein2201	GO:0004672(PANTHER)
Anofun|LOC125766475	GO:0005886(PANTHER)|GO:0006196(PANTHER)|GO:0008253(PANTHER)|GO:0009166(InterPro)|GO:0016787(InterPro)
Anoste|protein2063	GO:0000054(PANTHER)|GO:0003924(InterPro)|GO:0003924(PANTHER)|GO:0005525(InterPro)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006606(PANTHER)|GO:0006913(InterPro)
Anoste|protein11451	GO:0005886(PANTHER)|GO:0017147(PANTHER)|GO:0035567(PANTHER)|GO:0042813(PANTHER)|GO:0060070(PANTHER)
Anoste|protein7297	GO:0005886(PANTHER)|GO:0006508(InterPro)|GO:0008237(InterPro)|GO:0008237(PANTHER)|GO:0008241(InterPro)|GO:0016020(InterPro)
Anoalb|LOC118462784	GO:0003756(PANTHER)|GO:0005783(PANTHER)|GO:0006457(PANTHER)
Anoalb|LOC118463011	-
Anogam|LOC1280658	GO:0006886(PANTHER)|GO:0031901(PANTHER)|GO:0034498(PANTHER)|GO:0035091(InterPro)|GO:0042147(InterPro)
Anofun|LOC125771336	-
Anogam|LOC1271249	GO:0005680(PANTHER)|GO:0010997(PANTHER)|GO:0010997(InterPro)|GO:0031145(PANTHER)|GO:0097027(InterPro)|GO:1904668(InterPro)|GO:1905786(PANTHER)|GO:1990757(PANTHER)
Anoara|LOC120899589	GO:0004867(InterPro)|GO:0005615(InterPro)|GO:0005615(PANTHER)
Anoste|protein14474	GO:0000445(PANTHER)|GO:0006406(PANTHER)|GO:0006406(InterPro)
Anoste|protein6714	GO:0005789(InterPro)|GO:0015031(InterPro)|GO:0016020(PANTHER)|GO:0016020(InterPro)
Anoalb|LOC118457698	-
Anoste|protein14953	GO:0012505(PANTHER)
Anogam|LOC1276247	GO:0016020(PANTHER)|GO:0022857(PANTHER)|GO:0055085(PANTHER)
Anoalb|LOC118459414	-
Anoalb|LOC118461518	GO:0003746(InterPro)|GO:0005085(PANTHER)|GO:0005829(PANTHER)|GO:0005853(InterPro)|GO:0006414(PANTHER)
Anoste|protein17231	GO:0004984(PANTHER)|GO:0004984(InterPro)|GO:0005549(InterPro)|GO:0005886(PANTHER)|GO:0007608(InterPro)|GO:0016020(InterPro)|GO:0050911(PANTHER)
Anoste|protein8226	-
Anofun|LOC125771419	GO:0000146(PANTHER)|GO:0005737(PANTHER)|GO:0016460(PANTHER)|GO:0032982(PANTHER)|GO:0051015(PANTHER)
Anoalb|LOC118461420	GO:0004438(PANTHER)|GO:0005737(PANTHER)|GO:0010506(PANTHER)|GO:0016020(PANTHER)|GO:0019903(PANTHER)|GO:0046856(PANTHER)|GO:0052629(PANTHER)
Anoalb|LOC118460835	GO:0016567(PANTHER)|GO:0061630(PANTHER)
Anoalb|LOC118468725	-
Anoalb|LOC118457353	GO:0005164(PANTHER)|GO:0005778(PANTHER)|GO:0006513(PANTHER)|GO:0016235(PANTHER)|GO:0031625(PANTHER)|GO:0051865(PANTHER)|GO:0061630(PANTHER)|GO:0070842(PANTHER)
Anogam|LOC1281883	GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoste|protein18476	-
Anogam|LOC1273315	GO:0004674(PANTHER)|GO:0004693(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)|GO:0008353(PANTHER)|GO:0045944(PANTHER)|GO:0070816(PANTHER)|GO:0070985(PANTHER)
Anoalb|LOC118459366	GO:0005576(PANTHER)|GO:0007608(PANTHER)|GO:0035275(PANTHER)|GO:0042048(PANTHER)
Anoalb|LOC118459814	GO:0006631(PANTHER)|GO:0031956(PANTHER)
Anofun|LOC125768578	GO:0000724(PANTHER)|GO:0000724(InterPro)|GO:0005634(PANTHER)|GO:0006281(InterPro)|GO:0006355(PANTHER)
Anoalb|LOC118459467	GO:0030490(PANTHER)|GO:0030515(PANTHER)|GO:0032040(PANTHER)|GO:0034388(PANTHER)
Anofun|LOC125760968	GO:0005813(PANTHER)|GO:0005814(PANTHER)|GO:0007099(PANTHER)
Anogam|LOC1275602	GO:0004559(PANTHER)|GO:0004571(PANTHER)|GO:0004571(InterPro)|GO:0005783(PANTHER)|GO:1904380(PANTHER)|GO:1904380(InterPro)|GO:1904382(PANTHER)|GO:1904382(InterPro)
Anogam|LOC1277575	GO:0008194(PANTHER)
Anoalb|LOC118462996	-
